"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.003878058E2,6.501171117E1,2.549916042E1,1.684337148E1,1.511632243E0,8.224112342E1,1.502686670E1,1.993112845E1
1.013878016E2,6.501171487E1,2.549919717E1,1.703229228E1,1.529703465E0,8.110202678E1,1.513233567E1,1.996734971E1
1.023877965E2,6.501171566E1,2.549922918E1,1.719948816E1,1.492607163E0,8.492285533E1,1.503760245E1,1.966316532E1
1.033877920E2,6.501172148E1,2.549926777E1,1.731595956E1,1.601625969E0,7.731149810E1,1.494930911E1,1.955460991E1
1.043877864E2,6.501172191E1,2.549930400E1,1.773243632E1,1.604773732E0,8.227676294E1,1.491306443E1,1.971507428E1
1.053877816E2,6.501172208E1,2.549933749E1,1.793377311E1,1.455982104E0,8.467270774E1,1.485599890E1,2.006357162E1
1.063877772E2,6.501172763E1,2.549936834E1,1.813567828E1,1.467089886E0,7.980912527E1,1.504604720E1,2.030606749E1
1.073877718E2,6.501172983E1,2.549940909E1,1.841937464E1,1.772371067E0,7.820049809E1,1.512772282E1,2.073044798E1
1.083877677E2,6.501172725E1,2.549943685E1,1.820524294E1,1.508024704E0,8.333719406E1,1.512772301E1,2.050008358E1
1.093877629E2,6.501172585E1,2.549946018E1,1.800634856E1,1.423314299E0,8.624519856E1,1.493121945E1,1.980627073E1
1.103877583E2,6.501173067E1,2.549949129E1,1.802565841E1,1.514544856E0,7.854114461E1,1.474614849E1,2.033203905E1
1.113877536E2,6.501173039E1,2.549952551E1,1.811609835E1,1.571463599E0,8.138775929E1,1.468837069E1,2.053627200E1
1.123877485E2,6.501173197E1,2.549955454E1,1.785820692E1,1.555664714E0,8.092188605E1,1.497596820E1,2.074477795E1
1.133877444E2,6.501173322E1,2.549958744E1,1.791961413E1,1.605398730E0,8.227616667E1,1.497596809E1,2.101610960E1
1.143877394E2,6.501173758E1,2.549961558E1,1.773783393E1,1.600335657E0,8.317189561E1,1.516232394E1,2.095823388E1
1.153877348E2,6.501174047E1,2.549965059E1,1.792515686E1,1.590573322E0,8.294882006E1,1.526157199E1,2.051543868E1
1.163877307E2,6.501174061E1,2.549968817E1,1.810295633E1,1.561634142E0,8.111563036E1,1.526157188E1,2.115343688E1
1.173877263E2,6.501174066E1,2.549972035E1,1.800945920E1,1.490965156E0,8.521666550E1,1.556078129E1,2.153216298E1
1.183877209E2,6.501173932E1,2.549975375E1,1.822071184E1,1.571524438E0,8.224178056E1,1.544211970E1,2.130515620E1
1.193877170E2,6.501174086E1,2.549978237E1,1.811429677E1,1.492976865E0,8.212319673E1,1.550954338E1,2.092957929E1
1.203877119E2,6.501174262E1,2.549981532E1,1.804962109E1,1.515728214E0,8.430706307E1,1.531178389E1,2.120452872E1
1.213877076E2,6.501174902E1,2.549984512E1,1.782521698E1,1.488394553E0,8.292851232E1,1.544682932E1,2.108223828E1
1.223877035E2,6.501175076E1,2.549988159E1,1.804552098E1,1.610042970E0,8.467207877E1,1.554466200E1,2.037769108E1
1.233876983E2,6.501174913E1,2.549992094E1,1.796915839E1,1.690039063E0,8.500615769E1,1.564649621E1,2.157865836E1
1.243876941E2,6.501175231E1,2.549995191E1,1.788972511E1,1.525818160E0,8.197424601E1,1.540058900E1,2.061207529E1
1.253876902E2,6.501175289E1,2.549998912E1,1.797342571E1,1.583911300E0,8.494684067E1,1.520525946E1,1.977521185E1
1.263876852E2,6.501175628E1,2.550002318E1,1.755837585E1,1.523805197E0,8.497974576E1,1.520525927E1,2.089084212E1
1.273876814E2,6.501175797E1,2.550005773E1,1.766969785E1,1.565257516E0,8.498624690E1,1.520525935E1,2.044163392E1
1.283876768E2,6.501176076E1,2.550009380E1,1.710200078E1,1.656609328E0,8.411994522E1,1.505166534E1,2.001068818E1
1.293876717E2,6.501176424E1,2.550012620E1,1.699106679E1,1.541553171E0,8.236330517E1,1.505166524E1,2.071652511E1
1.303876671E2,6.501176585E1,2.550016023E1,1.712350859E1,1.487365076E0,8.238631763E1,1.494806776E1,2.044585240E1
1.313876631E2,6.501176294E1,2.550019084E1,1.651579888E1,1.440058592E0,8.715259838E1,1.477181436E1,2.017885150E1
