"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.345012004E1,-1.003605935E0,1.491730401E0,-1.336486972E0
2.346015904E1,-1.075199536E0,1.642051791E0,-1.365605521E0
2.347019704E1,-8.355239204E-1,1.267456937E0,-7.024920899E-1
2.348023504E1,-8.940187349E-1,1.227441955E0,-1.409810472E-1
2.349027404E1,-9.565399421E-1,1.204710758E0,2.551619661E-1
2.350031204E1,-9.328617885E-1,1.172266605E0,3.436724389E-1
2.351035004E1,-7.575722035E-1,1.195259757E0,3.317534745E-1
2.352038904E1,-4.220630990E-1,1.113031094E0,1.472890234E-1
2.353042704E1,-1.462657789E-1,8.006880368E-1,-4.299048364E-2
2.354046504E1,-1.064759515E-1,5.991254501E-1,-1.067754203E-1
2.355050404E1,-8.718556680E-2,9.832190330E-1,-2.168235272E-1
2.356054204E1,5.452101018E-2,1.135949914E0,3.201350570E-3
2.357058004E1,3.446428939E-1,1.621512569E0,3.189667833E-1
2.358061904E1,1.813606576E-1,1.071703778E0,1.377548459E0
2.359065704E1,-8.322561309E-2,9.391501035E-1,3.033426138E0
2.360069604E1,-4.870128741E-1,9.926973695E-1,4.672266199E0
2.361073404E1,-6.517023707E-1,4.353271422E-1,5.143268191E0
2.362077204E1,-3.125096299E-1,-7.345732771E-1,4.340788128E0
2.363081104E1,-6.249417295E-2,-9.372037116E-1,3.537106463E0
2.364084904E1,-4.345867751E-1,-1.386659152E0,3.047409754E0
2.365088704E1,3.726198474E-2,-4.154015489E-1,3.082759681E0
2.366092604E1,7.081394038E-1,2.191135892E-1,3.536721132E0
2.367096404E1,8.641253565E-1,5.468195114E-1,4.711923185E0
2.368100204E1,6.920906241E-1,-8.327255527E-2,5.413331786E0
2.369104104E1,7.724462776E-1,-2.375687028E0,5.123905136E0
2.370107904E1,1.234382308E0,-2.921965928E0,4.368082346E0
2.371111704E1,1.115137992E0,-2.677047114E0,3.354282156E0
2.372115604E1,1.066135621E0,-3.251933078E0,1.949837090E0
2.373119404E1,1.425887976E0,-3.307658505E0,6.854544729E-1
2.374123204E1,1.815572739E0,-2.214149656E0,1.222097307E-1
2.375127104E1,1.615517419E0,-1.264637117E0,9.779468179E-3
2.376130904E1,1.934182339E0,-1.834615805E-1,-1.158929837E-1
2.377134804E1,1.830633413E0,7.263384971E-1,9.308650374E-2
2.378138604E1,1.486507376E0,1.065760595E0,4.368068898E-1
2.379142404E1,9.723052780E-1,8.325369434E-1,3.408780545E-1
2.380146304E1,-4.058884031E-2,-1.324474744E0,5.966148019E-2
2.381150104E1,-1.167455899E-1,-1.951523427E0,-2.486961150E-1
2.382153904E1,5.739979545E-2,-1.375096429E0,-8.078472215E-1
2.383157804E1,7.393184753E-2,-1.217000070E0,-1.581833802E0
2.384161604E1,-1.202122671E-1,-1.294332640E0,-1.904965557E0
2.385165404E1,2.434833588E-2,-1.018301742E0,-2.245671703E0
2.386169304E1,4.443142030E-2,-7.791703563E-1,-2.584763433E0
2.387173104E1,1.430264763E-1,-5.290524908E-1,-2.747320706E0
2.388176904E1,3.464661289E-1,-2.461741378E-1,-2.856713340E0
2.389180804E1,4.237116483E-1,-1.334115341E-2,-3.076819494E0
2.390184604E1,3.920401682E-1,1.365040534E-1,-3.295197212E0
2.391188504E1,2.357432533E-1,2.633749652E-1,-3.430273156E0
2.392192304E1,2.754368209E-1,4.368546177E-1,-3.526833490E0
2.393196104E1,2.948125019E-1,5.285589858E-1,-3.404605048E0
2.394200004E1,2.746608406E-1,5.744804959E-1,-3.407912233E0
2.395203804E1,1.961536747E-1,6.567515876E-1,-3.486422213E0
2.396207604E1,1.966315932E-1,7.469427694E-1,-3.595154697E0
2.397211504E1,3.262796035E-1,8.648035605E-1,-3.437859918E0
2.398215304E1,3.350506097E-1,1.100077904E0,-3.217485377E0
2.399219104E1,4.894634422E-1,1.083793993E0,-2.923321313E0
2.400223004E1,5.893273805E-1,1.070157774E0,-2.309710409E0
2.401226804E1,5.488821533E-1,9.713869728E-1,-1.732591978E0
2.402230604E1,4.556529044E-1,8.538201506E-1,-1.326606347E0
2.403234504E1,4.593993251E-1,8.147510290E-1,-1.099030375E0
2.404238304E1,5.441822710E-1,9.087302564E-1,-9.263275981E-1
2.405242204E1,3.936876578E-1,1.134581081E0,-4.614172357E-1
2.406246004E1,1.736277332E-1,1.327583855E0,-3.989613712E-2
2.407249804E1,2.023212630E-1,1.546340326E0,3.120506966E-1
2.408253704E1,3.367557309E-1,1.586037365E0,5.988449299E-1
2.409257504E1,2.224571002E-1,1.505234400E0,8.515183210E-1
2.410261304E1,2.160965356E-1,1.519262309E0,9.808365119E-1
2.411265204E1,2.759838645E-1,1.249710199E0,1.164698700E0
2.412269004E1,1.930297084E-1,8.817243793E-1,1.526784021E0
2.413272804E1,-5.266989134E-3,4.193284658E-1,2.010268064E0
2.414276704E1,-4.588562284E-2,-8.467806146E-2,2.396056827E0
2.415280504E1,9.494197145E-2,-1.151932181E-1,2.733551683E0
2.416284304E1,-4.261059735E-1,2.375605313E-1,2.734066823E0
2.417288204E1,-3.007944410E-1,6.222943112E-2,3.047082310E0
2.418292004E1,2.291267999E-1,5.263258611E-1,2.683653299E0
2.419295804E1,1.843418788E-1,1.261151738E0,2.594302581E0
2.420299704E1,1.401644835E-1,1.448261615E0,2.897843825E0
2.421303504E1,4.372789063E-2,9.331745414E-1,3.456132467E0
2.422307404E1,-9.483909700E-2,9.796466035E-1,3.899248502E0
2.423311204E1,-1.097299599E0,4.671767431E-1,4.500269766E0
2.424315004E1,-1.359866771E0,-1.045506717E0,5.108534560E0
2.425318904E1,-1.054516253E0,-1.836426834E0,4.845194678E0
2.426322704E1,-9.972916000E-1,-2.106267796E0,4.150420328E0
2.427326504E1,-8.350068804E-1,-2.049115795E0,3.040907650E0
2.428330404E1,-6.490062927E-1,-1.669514262E0,2.055152460E0
2.429334204E1,-4.659415188E-1,-1.188772491E0,1.354767122E0
2.430338004E1,-4.661438690E-1,-7.006562103E-1,1.044805636E0
2.431341904E1,-5.270279289E-1,-3.563556343E-1,9.207528627E-1
2.432345704E1,-7.131972454E-1,-4.039870530E-1,8.502757877E-1
2.433349504E1,-9.897698879E-1,-6.637083124E-1,7.435395437E-1
2.434353404E1,-1.154726858E0,-8.822623962E-1,6.882798475E-1
2.435357204E1,-1.291516183E0,-1.236885501E0,5.846771264E-1
2.436361104E1,-1.513725288E0,-1.529456344E0,4.383756977E-1
2.437364904E1,-1.440207222E0,-1.742592179E0,2.509829611E-1
2.438368704E1,-1.169864715E0,-1.796770286E0,-1.600037938E-1
2.439372604E1,-7.769712916E-1,-1.808142536E0,-6.670363283E-1
2.440376404E1,-3.176098273E-1,-1.626380230E0,-9.873748684E-1
2.441380204E1,4.479460549E-2,-1.344125775E0,-1.326734986E0
2.442384104E1,3.339602137E-1,-1.052000488E0,-1.747881278E0
2.443387904E1,6.103111736E-1,-7.772822904E-1,-2.215164440E0
2.444391704E1,6.976451866E-1,-4.532510874E-1,-2.683870230E0
2.445395667E1,6.567090491E-1,-1.710874835E-1,-3.099205559E0
2.446399467E1,6.259877050E-1,4.100250341E-2,-3.500521604E0
2.447403267E1,6.092810039E-1,2.625018297E-1,-3.849022089E0
2.448407167E1,4.475328029E-1,3.977365988E-1,-4.094693440E0
2.449410967E1,3.039256433E-1,4.049330594E-1,-4.307332115E0
2.450414767E1,9.701270806E-2,3.853893258E-1,-4.511057879E0
2.451418667E1,-9.392561574E-2,3.179007628E-1,-4.668018782E0
2.452422467E1,-2.793236662E-1,3.617952991E-1,-4.708375095E0
2.453426367E1,-3.074073861E-1,1.948187736E-1,-4.717930614E0
2.454430167E1,-2.196991148E-1,3.623982201E-1,-4.800135450E0
2.455433967E1,-2.571464014E-1,4.742917813E-1,-4.594669554E0
2.456437867E1,-2.411771621E-1,4.781404187E-1,-4.401566427E0
2.457441667E1,-1.721926620E-1,5.145707649E-1,-4.178274710E0
2.458445467E1,-1.771562903E-1,4.893628335E-1,-3.834322189E0
2.459449367E1,-2.709888988E-1,5.354684213E-1,-3.307820765E0
2.460453167E1,-3.584544924E-1,6.954687068E-1,-2.674617596E0
2.461456967E1,-5.936050938E-1,8.320060162E-1,-2.001173304E0
2.462460867E1,-7.576365960E-1,9.898918024E-1,-1.392605624E0
2.463464667E1,-6.572475046E-1,1.197786777E0,-7.007104433E-1
2.464468467E1,-4.956208526E-1,1.362657794E0,-1.406886864E-1
2.465472367E1,-5.685913631E-1,1.427056980E0,6.154264641E-1
2.466476167E1,-7.238288721E-1,1.501606641E0,1.351909003E0
2.467479967E1,-7.760613918E-1,1.582575375E0,1.976122078E0
2.468483867E1,-6.751845695E-1,1.688357500E0,2.462532653E0
2.469487667E1,-4.203447485E-1,1.627490177E0,2.933009564E0
2.470491567E1,-3.150089126E-1,1.462457486E0,3.356138062E0
2.471495367E1,-3.652428905E-1,1.205949052E0,3.790603727E0
2.472499167E1,-5.027944360E-1,1.050235141E0,4.003188023E0
2.473503067E1,-6.008359800E-1,1.050179519E0,3.979617312E0
2.474506867E1,-7.387609798E-1,1.154759164E0,3.914009213E0
2.475510667E1,-7.723152269E-1,1.304590703E0,4.013308384E0
2.476514567E1,-6.526620450E-1,1.215021665E0,4.369817215E0
2.477518367E1,-4.343649829E-1,1.042646478E0,4.749037802E0
2.478522167E1,-6.405080225E-2,8.132261483E-1,4.982261599E0
2.479526067E1,3.711264685E-1,4.290164251E-1,5.110142545E0
2.480529867E1,7.021791176E-1,-9.223997310E-2,5.230743706E0
2.481533667E1,1.002140257E0,-6.311797401E-1,5.176016691E0
2.482537567E1,1.235683605E0,-1.097593129E0,4.728602952E0
2.483541367E1,1.316917803E0,-1.325284292E0,4.092523538E0
2.484545167E1,1.103678619E0,-1.308282781E0,3.289492083E0
2.485549067E1,7.496370202E-1,-1.067320851E0,2.498986534E0
2.486552867E1,4.947739930E-1,-8.471973749E-1,1.952690531E0
2.487556767E1,4.763404630E-1,-8.584433978E-1,1.662007899E0
2.488560567E1,5.299933809E-1,-9.504581800E-1,1.600848947E0
2.489564367E1,7.582509921E-1,-1.159980947E0,1.575428762E0
2.490568267E1,1.127510335E0,-1.372803444E0,1.497049760E0
2.491572067E1,1.267290145E0,-1.508015482E0,1.452522043E0
2.492575867E1,1.295402827E0,-1.587472564E0,1.201420968E0
2.493579767E1,1.250522962E0,-1.598270910E0,7.445470190E-1
2.494583567E1,1.039903184E0,-1.420493627E0,1.834774411E-1
2.495587367E1,7.562672511E-1,-1.143858419E0,-4.507314491E-1
2.496591267E1,4.611538187E-1,-8.370107212E-1,-1.200186621E0
2.497595067E1,3.028585447E-1,-5.255312245E-1,-1.914739763E0
2.498598867E1,1.446715356E-1,-3.330775765E-1,-2.594749893E0
2.499602767E1,6.999652522E-2,-1.280620627E-1,-3.080675148E0
2.500606567E1,-1.554915341E-2,1.950923502E-2,-3.471777862E0
2.501610367E1,7.897656938E-2,3.554551631E-2,-3.735939862E0
2.502614267E1,2.330653381E-1,9.418300286E-2,-3.903604093E0
2.503618067E1,3.843763688E-1,8.181965008E-2,-4.049428389E0
2.504621867E1,4.877844142E-1,7.917612389E-2,-4.103118108E0
2.505625767E1,5.198262058E-1,1.255134076E-2,-4.111853848E0
2.506629567E1,4.901076591E-1,3.603171229E-2,-4.200271350E0
2.507633467E1,5.390902232E-1,4.066446126E-3,-4.224399301E0
2.508637267E1,5.226300553E-1,-2.873716459E-2,-4.183489257E0
2.509641067E1,5.078784073E-1,-5.556112021E-2,-4.102799435E0
2.510644967E1,5.407415134E-1,-9.440768212E-2,-4.037833360E0
2.511648767E1,5.375586547E-1,-6.410799533E-2,-3.874838131E0
2.512652567E1,4.633897574E-1,-5.677383274E-2,-3.623254661E0
2.513656467E1,3.418075791E-1,-6.388126954E-2,-3.368420139E0
2.514660267E1,2.631631133E-1,-3.005030304E-2,-3.084466483E0
2.515664067E1,2.673048057E-1,-7.900026888E-3,-2.863805428E0
2.516667967E1,1.480713078E-1,1.090755688E-1,-2.629702209E0
2.517671767E1,1.170667026E-1,2.911903162E-1,-2.392434477E0
2.518675567E1,5.985169742E-2,4.624013221E-1,-2.097978637E0
2.519679467E1,-3.008827340E-2,5.866758509E-1,-1.772529631E0
2.520683267E1,-1.255782751E-1,6.485825157E-1,-1.393927680E0
2.521687067E1,-1.898606637E-1,7.140441415E-1,-1.072209197E0
2.522690967E1,-2.499000202E-1,7.776735422E-1,-6.621644282E-1
2.523694767E1,-2.515065792E-1,8.313717395E-1,-1.867659152E-1
2.524698567E1,-1.800996142E-1,8.168952030E-1,3.904215127E-1
2.525702467E1,-2.706071670E-1,7.976169330E-1,1.203890832E0
2.526706267E1,-2.380656211E-1,6.346294512E-1,2.020033498E0
2.527710167E1,-1.358373977E-2,3.961824819E-1,2.634130890E0
2.528713967E1,2.187657530E-1,2.640343849E-1,3.132790797E0
2.529717767E1,3.131332355E-1,3.118580309E-1,3.433052337E0
2.530721667E1,2.122667921E-1,4.326989284E-1,3.560847328E0
2.531725467E1,-9.814609945E-2,6.869244629E-1,3.735188495E0
2.532729267E1,-3.260219241E-1,6.947430673E-1,3.993430189E0
2.533733167E1,-5.929287171E-1,8.130249310E-1,4.455254976E0
2.534736967E1,-7.043653916E-1,7.856484134E-1,4.745381538E0
2.535740767E1,-5.732400091E-1,5.536996011E-1,5.015070911E0
2.536744667E1,-3.500622761E-1,1.547532865E-1,5.230308089E0
2.537748467E1,-1.206384377E-1,-1.552369975E-1,5.175182878E0
